Country,Jurisdiction type,Included in primary analysis,Vector group,Vector taxa,Vector status,Classification basis,Evidence category,Vector source IDs,Assessment cutoff,Source-linkage scope,Evidence notes
Cook Islands,Territory/dependency or other jurisdiction,No,Culex,Culex tritaeniorhynchus complex,Limited / uncertain,Categorical synthesis of documented occurrence and modelled habitat suitability for the principal JEV vector complex. Status does not quantify abundance or vector competence.,Peer-reviewed global occurrence and habitat-suitability modelling,S051,2026-05-06,Global occurrence/modelling source,"The cited model distinguishes documented occurrences from predicted suitability. Country-level categories should therefore be interpreted as ecological evidence tiers, not direct entomological surveillance measurements."
Costa Rica,Sovereign state,Yes,Aedes,Aedes aegypti and/or Aedes albopictus,Present,"Categorical synthesis of occurrence and distribution evidence. Status denotes evidence of presence, limited/sporadic occurrence, absence, or uncertainty; it does not quantify mosquito abundance.",Peer-reviewed global occurrence/modelling; regional public-health distribution maps where applicable,S049; S050,2026-05-06,Global modelling,Vector presence indicates ecological compatibility with transmission but does not establish virus circulation. Global or regional sources may not provide a direct country-specific occurrence citation for every jurisdiction.
Costa Rica,Sovereign state,Yes,Culex,Culex tritaeniorhynchus complex,Absent,Categorical synthesis of documented occurrence and modelled habitat suitability for the principal JEV vector complex. Status does not quantify abundance or vector competence.,Peer-reviewed global occurrence and habitat-suitability modelling,S051,2026-05-06,Global occurrence/modelling source,"The cited model distinguishes documented occurrences from predicted suitability. Country-level categories should therefore be interpreted as ecological evidence tiers, not direct entomological surveillance measurements."
Croatia,Sovereign state,Yes,Aedes,Aedes aegypti and/or Aedes albopictus,Present,"Categorical synthesis of occurrence and distribution evidence. Status denotes evidence of presence, limited/sporadic occurrence, absence, or uncertainty; it does not quantify mosquito abundance.",Peer-reviewed global occurrence/modelling; regional public-health distribution maps where applicable,S049; S050; S023; S024,2026-05-06,Global modelling plus ECDC regional distribution maps,Vector presence indicates ecological compatibility with transmission but does not establish virus circulation. Global or regional sources may not provide a direct country-specific occurrence citation for every jurisdiction.
Croatia,Sovereign state,Yes,Culex,Culex tritaeniorhynchus complex,Absent,Categorical synthesis of documented occurrence and modelled habitat suitability for the principal JEV vector complex. Status does not quantify abundance or vector competence.,Peer-reviewed global occurrence and habitat-suitability modelling,S051,2026-05-06,Global occurrence/modelling source,"The cited model distinguishes documented occurrences from predicted suitability. Country-level categories should therefore be interpreted as ecological evidence tiers, not direct entomological surveillance measurements."
Cuba,Sovereign state,Yes,Aedes,Aedes aegypti and/or Aedes albopictus,Present,"Categorical synthesis of occurrence and distribution evidence. Status denotes evidence of presence, limited/sporadic occurrence, absence, or uncertainty; it does not quantify mosquito abundance.",Peer-reviewed global occurrence/modelling; regional public-health distribution maps where applicable,S049; S050,2026-05-06,Global modelling,Vector presence indicates ecological compatibility with transmission but does not establish virus circulation. Global or regional sources may not provide a direct country-specific occurrence citation for every jurisdiction.
Cuba,Sovereign state,Yes,Culex,Culex tritaeniorhynchus complex,Absent,Categorical synthesis of documented occurrence and modelled habitat suitability for the principal JEV vector complex. Status does not quantify abundance or vector competence.,Peer-reviewed global occurrence and habitat-suitability modelling,S051,2026-05-06,Global occurrence/modelling source,"The cited model distinguishes documented occurrences from predicted suitability. Country-level categories should therefore be interpreted as ecological evidence tiers, not direct entomological surveillance measurements."
Curaçao,Territory/dependency or other jurisdiction,No,Aedes,Aedes aegypti and/or Aedes albopictus,Present,"Categorical synthesis of occurrence and distribution evidence. Status denotes evidence of presence, limited/sporadic occurrence, absence, or uncertainty; it does not quantify mosquito abundance.",Peer-reviewed global occurrence/modelling; regional public-health distribution maps where applicable,S049; S050,2026-05-06,Global modelling,Vector presence indicates ecological compatibility with transmission but does not establish virus circulation. Global or regional sources may not provide a direct country-specific occurrence citation for every jurisdiction.
Curaçao,Territory/dependency or other jurisdiction,No,Culex,Culex tritaeniorhynchus complex,Absent,Categorical synthesis of documented occurrence and modelled habitat suitability for the principal JEV vector complex. Status does not quantify abundance or vector competence.,Peer-reviewed global occurrence and habitat-suitability modelling,S051,2026-05-06,Global occurrence/modelling source,"The cited model distinguishes documented occurrences from predicted suitability. Country-level categories should therefore be interpreted as ecological evidence tiers, not direct entomological surveillance measurements."
Cyprus,Sovereign state,Yes,Aedes,Aedes aegypti and/or Aedes albopictus,Present,"Categorical synthesis of occurrence and distribution evidence. Status denotes evidence of presence, limited/sporadic occurrence, absence, or uncertainty; it does not quantify mosquito abundance.",Peer-reviewed global occurrence/modelling; regional public-health distribution maps where applicable,S049; S050; S023; S024,2026-05-06,Global modelling plus ECDC regional distribution maps,Vector presence indicates ecological compatibility with transmission but does not establish virus circulation. Global or regional sources may not provide a direct country-specific occurrence citation for every jurisdiction.
Cyprus,Sovereign state,Yes,Culex,Culex tritaeniorhynchus complex,Absent,Categorical synthesis of documented occurrence and modelled habitat suitability for the principal JEV vector complex. Status does not quantify abundance or vector competence.,Peer-reviewed global occurrence and habitat-suitability modelling,S051,2026-05-06,Global occurrence/modelling source,"The cited model distinguishes documented occurrences from predicted suitability. Country-level categories should therefore be interpreted as ecological evidence tiers, not direct entomological surveillance measurements."
Czechia,Sovereign state,Yes,Aedes,Aedes aegypti and/or Aedes albopictus,Limited / sporadic,"Categorical synthesis of occurrence and distribution evidence. Status denotes evidence of presence, limited/sporadic occurrence, absence, or uncertainty; it does not quantify mosquito abundance.",Peer-reviewed global occurrence/modelling; regional public-health distribution maps where applicable,S049; S050; S023; S024,2026-05-06,Global modelling plus ECDC regional distribution maps,Vector presence indicates ecological compatibility with transmission but does not establish virus circulation. Global or regional sources may not provide a direct country-specific occurrence citation for every jurisdiction.
Czechia,Sovereign state,Yes,Culex,Culex tritaeniorhynchus complex,Absent,Categorical synthesis of documented occurrence and modelled habitat suitability for the principal JEV vector complex. Status does not quantify abundance or vector competence.,Peer-reviewed global occurrence and habitat-suitability modelling,S051,2026-05-06,Global occurrence/modelling source,"The cited model distinguishes documented occurrences from predicted suitability. Country-level categories should therefore be interpreted as ecological evidence tiers, not direct entomological surveillance measurements."
Côte d'Ivoire,Sovereign state,Yes,Aedes,Aedes aegypti and/or Aedes albopictus,Present,"Categorical synthesis of occurrence and distribution evidence. Status denotes evidence of presence, limited/sporadic occurrence, absence, or uncertainty; it does not quantify mosquito abundance.",Peer-reviewed global occurrence/modelling; regional public-health distribution maps where applicable,S049; S050,2026-05-06,Global modelling,Vector presence indicates ecological compatibility with transmission but does not establish virus circulation. Global or regional sources may not provide a direct country-specific occurrence citation for every jurisdiction.
Côte d'Ivoire,Sovereign state,Yes,Culex,Culex tritaeniorhynchus complex,Absent,Categorical synthesis of documented occurrence and modelled habitat suitability for the principal JEV vector complex. Status does not quantify abundance or vector competence.,Peer-reviewed global occurrence and habitat-suitability modelling,S051,2026-05-06,Global occurrence/modelling source,"The cited model distinguishes documented occurrences from predicted suitability. Country-level categories should therefore be interpreted as ecological evidence tiers, not direct entomological surveillance measurements."
Denmark,Sovereign state,Yes,Aedes,Aedes aegypti and/or Aedes albopictus,Limited / sporadic,"Categorical synthesis of occurrence and distribution evidence. Status denotes evidence of presence, limited/sporadic occurrence, absence, or uncertainty; it does not quantify mosquito abundance.",Peer-reviewed global occurrence/modelling; regional public-health distribution maps where applicable,S049; S050; S023; S024,2026-05-06,Global modelling plus ECDC regional distribution maps,Vector presence indicates ecological compatibility with transmission but does not establish virus circulation. Global or regional sources may not provide a direct country-specific occurrence citation for every jurisdiction.
Denmark,Sovereign state,Yes,Culex,Culex tritaeniorhynchus complex,Absent,Categorical synthesis of documented occurrence and modelled habitat suitability for the principal JEV vector complex. Status does not quantify abundance or vector competence.,Peer-reviewed global occurrence and habitat-suitability modelling,S051,2026-05-06,Global occurrence/modelling source,"The cited model distinguishes documented occurrences from predicted suitability. Country-level categories should therefore be interpreted as ecological evidence tiers, not direct entomological surveillance measurements."
Djibouti,Sovereign state,Yes,Aedes,Aedes aegypti and/or Aedes albopictus,Present,"Categorical synthesis of occurrence and distribution evidence. Status denotes evidence of presence, limited/sporadic occurrence, absence, or uncertainty; it does not quantify mosquito abundance.",Peer-reviewed global occurrence/modelling; regional public-health distribution maps where applicable,S049; S050,2026-05-06,Global modelling,Vector presence indicates ecological compatibility with transmission but does not establish virus circulation. Global or regional sources may not provide a direct country-specific occurrence citation for every jurisdiction.
Djibouti,Sovereign state,Yes,Culex,Culex tritaeniorhynchus complex,Absent,Categorical synthesis of documented occurrence and modelled habitat suitability for the principal JEV vector complex. Status does not quantify abundance or vector competence.,Peer-reviewed global occurrence and habitat-suitability modelling,S051,2026-05-06,Global occurrence/modelling source,"The cited model distinguishes documented occurrences from predicted suitability. Country-level categories should therefore be interpreted as ecological evidence tiers, not direct entomological surveillance measurements."
Dominica,Sovereign state,Yes,Aedes,Aedes aegypti and/or Aedes albopictus,Present,"Categorical synthesis of occurrence and distribution evidence. Status denotes evidence of presence, limited/sporadic occurrence, absence, or uncertainty; it does not quantify mosquito abundance.",Peer-reviewed global occurrence/modelling; regional public-health distribution maps where applicable,S049; S050,2026-05-06,Global modelling,Vector presence indicates ecological compatibility with transmission but does not establish virus circulation. Global or regional sources may not provide a direct country-specific occurrence citation for every jurisdiction.
Dominica,Sovereign state,Yes,Culex,Culex tritaeniorhynchus complex,Absent,Categorical synthesis of documented occurrence and modelled habitat suitability for the principal JEV vector complex. Status does not quantify abundance or vector competence.,Peer-reviewed global occurrence and habitat-suitability modelling,S051,2026-05-06,Global occurrence/modelling source,"The cited model distinguishes documented occurrences from predicted suitability. Country-level categories should therefore be interpreted as ecological evidence tiers, not direct entomological surveillance measurements."
Dominican Republic,Sovereign state,Yes,Aedes,Aedes aegypti and/or Aedes albopictus,Present,"Categorical synthesis of occurrence and distribution evidence. Status denotes evidence of presence, limited/sporadic occurrence, absence, or uncertainty; it does not quantify mosquito abundance.",Peer-reviewed global occurrence/modelling; regional public-health distribution maps where applicable,S049; S050,2026-05-06,Global modelling,Vector presence indicates ecological compatibility with transmission but does not establish virus circulation. Global or regional sources may not provide a direct country-specific occurrence citation for every jurisdiction.
Dominican Republic,Sovereign state,Yes,Culex,Culex tritaeniorhynchus complex,Absent,Categorical synthesis of documented occurrence and modelled habitat suitability for the principal JEV vector complex. Status does not quantify abundance or vector competence.,Peer-reviewed global occurrence and habitat-suitability modelling,S051,2026-05-06,Global occurrence/modelling source,"The cited model distinguishes documented occurrences from predicted suitability. Country-level categories should therefore be interpreted as ecological evidence tiers, not direct entomological surveillance measurements."
Ecuador,Sovereign state,Yes,Aedes,Aedes aegypti and/or Aedes albopictus,Present,"Categorical synthesis of occurrence and distribution evidence. Status denotes evidence of presence, limited/sporadic occurrence, absence, or uncertainty; it does not quantify mosquito abundance.",Peer-reviewed global occurrence/modelling; regional public-health distribution maps where applicable,S049; S050,2026-05-06,Global modelling,Vector presence indicates ecological compatibility with transmission but does not establish virus circulation. Global or regional sources may not provide a direct country-specific occurrence citation for every jurisdiction.
Ecuador,Sovereign state,Yes,Culex,Culex tritaeniorhynchus complex,Absent,Categorical synthesis of documented occurrence and modelled habitat suitability for the principal JEV vector complex. Status does not quantify abundance or vector competence.,Peer-reviewed global occurrence and habitat-suitability modelling,S051,2026-05-06,Global occurrence/modelling source,"The cited model distinguishes documented occurrences from predicted suitability. Country-level categories should therefore be interpreted as ecological evidence tiers, not direct entomological surveillance measurements."
Egypt,Sovereign state,Yes,Aedes,Aedes aegypti and/or Aedes albopictus,Present,"Categorical synthesis of occurrence and distribution evidence. Status denotes evidence of presence, limited/sporadic occurrence, absence, or uncertainty; it does not quantify mosquito abundance.",Peer-reviewed global occurrence/modelling; regional public-health distribution maps where applicable,S049; S050,2026-05-06,Global modelling,Vector presence indicates ecological compatibility with transmission but does not establish virus circulation. Global or regional sources may not provide a direct country-specific occurrence citation for every jurisdiction.
Egypt,Sovereign state,Yes,Culex,Culex tritaeniorhynchus complex,Absent,Categorical synthesis of documented occurrence and modelled habitat suitability for the principal JEV vector complex. Status does not quantify abundance or vector competence.,Peer-reviewed global occurrence and habitat-suitability modelling,S051,2026-05-06,Global occurrence/modelling source,"The cited model distinguishes documented occurrences from predicted suitability. Country-level categories should therefore be interpreted as ecological evidence tiers, not direct entomological surveillance measurements."
El Salvador,Sovereign state,Yes,Aedes,Aedes aegypti and/or Aedes albopictus,Present,"Categorical synthesis of occurrence and distribution evidence. Status denotes evidence of presence, limited/sporadic occurrence, absence, or uncertainty; it does not quantify mosquito abundance.",Peer-reviewed global occurrence/modelling; regional public-health distribution maps where applicable,S049; S050,2026-05-06,Global modelling,Vector presence indicates ecological compatibility with transmission but does not establish virus circulation. Global or regional sources may not provide a direct country-specific occurrence citation for every jurisdiction.
El Salvador,Sovereign state,Yes,Culex,Culex tritaeniorhynchus complex,Absent,Categorical synthesis of documented occurrence and modelled habitat suitability for the principal JEV vector complex. Status does not quantify abundance or vector competence.,Peer-reviewed global occurrence and habitat-suitability modelling,S051,2026-05-06,Global occurrence/modelling source,"The cited model distinguishes documented occurrences from predicted suitability. Country-level categories should therefore be interpreted as ecological evidence tiers, not direct entomological surveillance measurements."
Equatorial Guinea,Sovereign state,Yes,Aedes,Aedes aegypti and/or Aedes albopictus,Present,"Categorical synthesis of occurrence and distribution evidence. Status denotes evidence of presence, limited/sporadic occurrence, absence, or uncertainty; it does not quantify mosquito abundance.",Peer-reviewed global occurrence/modelling; regional public-health distribution maps where applicable,S049; S050,2026-05-06,Global modelling,Vector presence indicates ecological compatibility with transmission but does not establish virus circulation. Global or regional sources may not provide a direct country-specific occurrence citation for every jurisdiction.
Equatorial Guinea,Sovereign state,Yes,Culex,Culex tritaeniorhynchus complex,Absent,Categorical synthesis of documented occurrence and modelled habitat suitability for the principal JEV vector complex. Status does not quantify abundance or vector competence.,Peer-reviewed global occurrence and habitat-suitability modelling,S051,2026-05-06,Global occurrence/modelling source,"The cited model distinguishes documented occurrences from predicted suitability. Country-level categories should therefore be interpreted as ecological evidence tiers, not direct entomological surveillance measurements."
Eritrea,Sovereign state,Yes,Aedes,Aedes aegypti and/or Aedes albopictus,Present,"Categorical synthesis of occurrence and distribution evidence. Status denotes evidence of presence, limited/sporadic occurrence, absence, or uncertainty; it does not quantify mosquito abundance.",Peer-reviewed global occurrence/modelling; regional public-health distribution maps where applicable,S049; S050,2026-05-06,Global modelling,Vector presence indicates ecological compatibility with transmission but does not establish virus circulation. Global or regional sources may not provide a direct country-specific occurrence citation for every jurisdiction.
Eritrea,Sovereign state,Yes,Culex,Culex tritaeniorhynchus complex,Absent,Categorical synthesis of documented occurrence and modelled habitat suitability for the principal JEV vector complex. Status does not quantify abundance or vector competence.,Peer-reviewed global occurrence and habitat-suitability modelling,S051,2026-05-06,Global occurrence/modelling source,"The cited model distinguishes documented occurrences from predicted suitability. Country-level categories should therefore be interpreted as ecological evidence tiers, not direct entomological surveillance measurements."
Estonia,Sovereign state,Yes,Aedes,Aedes aegypti and/or Aedes albopictus,Absent,"Categorical synthesis of occurrence and distribution evidence. Status denotes evidence of presence, limited/sporadic occurrence, absence, or uncertainty; it does not quantify mosquito abundance.",Peer-reviewed global occurrence/modelling; regional public-health distribution maps where applicable,S049; S050; S023; S024,2026-05-06,Global modelling plus ECDC regional distribution maps,Vector presence indicates ecological compatibility with transmission but does not establish virus circulation. Global or regional sources may not provide a direct country-specific occurrence citation for every jurisdiction.
Estonia,Sovereign state,Yes,Culex,Culex tritaeniorhynchus complex,Absent,Categorical synthesis of documented occurrence and modelled habitat suitability for the principal JEV vector complex. Status does not quantify abundance or vector competence.,Peer-reviewed global occurrence and habitat-suitability modelling,S051,2026-05-06,Global occurrence/modelling source,"The cited model distinguishes documented occurrences from predicted suitability. Country-level categories should therefore be interpreted as ecological evidence tiers, not direct entomological surveillance measurements."
Eswatini,Sovereign state,Yes,Aedes,Aedes aegypti and/or Aedes albopictus,Limited / sporadic,"Categorical synthesis of occurrence and distribution evidence. Status denotes evidence of presence, limited/sporadic occurrence, absence, or uncertainty; it does not quantify mosquito abundance.",Peer-reviewed global occurrence/modelling; regional public-health distribution maps where applicable,S049; S050,2026-05-06,Global modelling,Vector presence indicates ecological compatibility with transmission but does not establish virus circulation. Global or regional sources may not provide a direct country-specific occurrence citation for every jurisdiction.
Eswatini,Sovereign state,Yes,Culex,Culex tritaeniorhynchus complex,Absent,Categorical synthesis of documented occurrence and modelled habitat suitability for the principal JEV vector complex. Status does not quantify abundance or vector competence.,Peer-reviewed global occurrence and habitat-suitability modelling,S051,2026-05-06,Global occurrence/modelling source,"The cited model distinguishes documented occurrences from predicted suitability. Country-level categories should therefore be interpreted as ecological evidence tiers, not direct entomological surveillance measurements."
Ethiopia,Sovereign state,Yes,Aedes,Aedes aegypti and/or Aedes albopictus,Present,"Categorical synthesis of occurrence and distribution evidence. Status denotes evidence of presence, limited/sporadic occurrence, absence, or uncertainty; it does not quantify mosquito abundance.",Peer-reviewed global occurrence/modelling; regional public-health distribution maps where applicable,S049; S050,2026-05-06,Global modelling,Vector presence indicates ecological compatibility with transmission but does not establish virus circulation. Global or regional sources may not provide a direct country-specific occurrence citation for every jurisdiction.
Ethiopia,Sovereign state,Yes,Culex,Culex tritaeniorhynchus complex,Absent,Categorical synthesis of documented occurrence and modelled habitat suitability for the principal JEV vector complex. Status does not quantify abundance or vector competence.,Peer-reviewed global occurrence and habitat-suitability modelling,S051,2026-05-06,Global occurrence/modelling source,"The cited model distinguishes documented occurrences from predicted suitability. Country-level categories should therefore be interpreted as ecological evidence tiers, not direct entomological surveillance measurements."
Falkland Islands (Malvinas),Territory/dependency or other jurisdiction,No,Aedes,Aedes aegypti and/or Aedes albopictus,Limited / sporadic,"Categorical synthesis of occurrence and distribution evidence. Status denotes evidence of presence, limited/sporadic occurrence, absence, or uncertainty; it does not quantify mosquito abundance.",Peer-reviewed global occurrence/modelling; regional public-health distribution maps where applicable,S049; S050,2026-05-06,Global modelling,Vector presence indicates ecological compatibility with transmission but does not establish virus circulation. Global or regional sources may not provide a direct country-specific occurrence citation for every jurisdiction.
Falkland Islands (Malvinas),Territory/dependency or other jurisdiction,No,Culex,Culex tritaeniorhynchus complex,Absent,Categorical synthesis of documented occurrence and modelled habitat suitability for the principal JEV vector complex. Status does not quantify abundance or vector competence.,Peer-reviewed global occurrence and habitat-suitability modelling,S051,2026-05-06,Global occurrence/modelling source,"The cited model distinguishes documented occurrences from predicted suitability. Country-level categories should therefore be interpreted as ecological evidence tiers, not direct entomological surveillance measurements."
Faroe Islands,Territory/dependency or other jurisdiction,No,Aedes,Aedes aegypti and/or Aedes albopictus,Limited / sporadic,"Categorical synthesis of occurrence and distribution evidence. Status denotes evidence of presence, limited/sporadic occurrence, absence, or uncertainty; it does not quantify mosquito abundance.",Peer-reviewed global occurrence/modelling; regional public-health distribution maps where applicable,S049; S050; S023; S024,2026-05-06,Global modelling plus ECDC regional distribution maps,Vector presence indicates ecological compatibility with transmission but does not establish virus circulation. Global or regional sources may not provide a direct country-specific occurrence citation for every jurisdiction.
Faroe Islands,Territory/dependency or other jurisdiction,No,Culex,Culex tritaeniorhynchus complex,Absent,Categorical synthesis of documented occurrence and modelled habitat suitability for the principal JEV vector complex. Status does not quantify abundance or vector competence.,Peer-reviewed global occurrence and habitat-suitability modelling,S051,2026-05-06,Global occurrence/modelling source,"The cited model distinguishes documented occurrences from predicted suitability. Country-level categories should therefore be interpreted as ecological evidence tiers, not direct entomological surveillance measurements."
Fiji,Sovereign state,Yes,Aedes,Aedes aegypti and/or Aedes albopictus,Present,"Categorical synthesis of occurrence and distribution evidence. Status denotes evidence of presence, limited/sporadic occurrence, absence, or uncertainty; it does not quantify mosquito abundance.",Peer-reviewed global occurrence/modelling; regional public-health distribution maps where applicable,S049; S050,2026-05-06,Global modelling,Vector presence indicates ecological compatibility with transmission but does not establish virus circulation. Global or regional sources may not provide a direct country-specific occurrence citation for every jurisdiction.
Fiji,Sovereign state,Yes,Culex,Culex tritaeniorhynchus complex,Limited / uncertain,Categorical synthesis of documented occurrence and modelled habitat suitability for the principal JEV vector complex. Status does not quantify abundance or vector competence.,Peer-reviewed global occurrence and habitat-suitability modelling,S051,2026-05-06,Global occurrence/modelling source,"The cited model distinguishes documented occurrences from predicted suitability. Country-level categories should therefore be interpreted as ecological evidence tiers, not direct entomological surveillance measurements."
Finland,Sovereign state,Yes,Aedes,Aedes aegypti and/or Aedes albopictus,Absent,"Categorical synthesis of occurrence and distribution evidence. Status denotes evidence of presence, limited/sporadic occurrence, absence, or uncertainty; it does not quantify mosquito abundance.",Peer-reviewed global occurrence/modelling; regional public-health distribution maps where applicable,S049; S050; S023; S024,2026-05-06,Global modelling plus ECDC regional distribution maps,Vector presence indicates ecological compatibility with transmission but does not establish virus circulation. Global or regional sources may not provide a direct country-specific occurrence citation for every jurisdiction.
Finland,Sovereign state,Yes,Culex,Culex tritaeniorhynchus complex,Absent,Categorical synthesis of documented occurrence and modelled habitat suitability for the principal JEV vector complex. Status does not quantify abundance or vector competence.,Peer-reviewed global occurrence and habitat-suitability modelling,S051,2026-05-06,Global occurrence/modelling source,"The cited model distinguishes documented occurrences from predicted suitability. Country-level categories should therefore be interpreted as ecological evidence tiers, not direct entomological surveillance measurements."
France,Sovereign state,Yes,Aedes,Aedes aegypti and/or Aedes albopictus,Present,"Categorical synthesis of occurrence and distribution evidence. Status denotes evidence of presence, limited/sporadic occurrence, absence, or uncertainty; it does not quantify mosquito abundance.",Peer-reviewed global occurrence/modelling; regional public-health distribution maps where applicable,S049; S050; S023; S024,2026-05-06,Global modelling plus ECDC regional distribution maps,Vector presence indicates ecological compatibility with transmission but does not establish virus circulation. Global or regional sources may not provide a direct country-specific occurrence citation for every jurisdiction.
France,Sovereign state,Yes,Culex,Culex tritaeniorhynchus complex,Absent,Categorical synthesis of documented occurrence and modelled habitat suitability for the principal JEV vector complex. Status does not quantify abundance or vector competence.,Peer-reviewed global occurrence and habitat-suitability modelling,S051,2026-05-06,Global occurrence/modelling source,"The cited model distinguishes documented occurrences from predicted suitability. Country-level categories should therefore be interpreted as ecological evidence tiers, not direct entomological surveillance measurements."
French Guiana,Territory/dependency or other jurisdiction,No,Aedes,Aedes aegypti and/or Aedes albopictus,Present,"Categorical synthesis of occurrence and distribution evidence. Status denotes evidence of presence, limited/sporadic occurrence, absence, or uncertainty; it does not quantify mosquito abundance.",Peer-reviewed global occurrence/modelling; regional public-health distribution maps where applicable,S049; S050,2026-05-06,Global modelling,Vector presence indicates ecological compatibility with transmission but does not establish virus circulation. Global or regional sources may not provide a direct country-specific occurrence citation for every jurisdiction.
French Guiana,Territory/dependency or other jurisdiction,No,Culex,Culex tritaeniorhynchus complex,Absent,Categorical synthesis of documented occurrence and modelled habitat suitability for the principal JEV vector complex. Status does not quantify abundance or vector competence.,Peer-reviewed global occurrence and habitat-suitability modelling,S051,2026-05-06,Global occurrence/modelling source,"The cited model distinguishes documented occurrences from predicted suitability. Country-level categories should therefore be interpreted as ecological evidence tiers, not direct entomological surveillance measurements."
French Polynesia,Territory/dependency or other jurisdiction,No,Aedes,Aedes aegypti and/or Aedes albopictus,Present,"Categorical synthesis of occurrence and distribution evidence. Status denotes evidence of presence, limited/sporadic occurrence, absence, or uncertainty; it does not quantify mosquito abundance.",Peer-reviewed global occurrence/modelling; regional public-health distribution maps where applicable,S049; S050,2026-05-06,Global modelling,Vector presence indicates ecological compatibility with transmission but does not establish virus circulation. Global or regional sources may not provide a direct country-specific occurrence citation for every jurisdiction.
French Polynesia,Territory/dependency or other jurisdiction,No,Culex,Culex tritaeniorhynchus complex,Limited / uncertain,Categorical synthesis of documented occurrence and modelled habitat suitability for the principal JEV vector complex. Status does not quantify abundance or vector competence.,Peer-reviewed global occurrence and habitat-suitability modelling,S051,2026-05-06,Global occurrence/modelling source,"The cited model distinguishes documented occurrences from predicted suitability. Country-level categories should therefore be interpreted as ecological evidence tiers, not direct entomological surveillance measurements."
French Southern Territories,Territory/dependency or other jurisdiction,No,Aedes,Aedes aegypti and/or Aedes albopictus,Limited / sporadic,"Categorical synthesis of occurrence and distribution evidence. Status denotes evidence of presence, limited/sporadic occurrence, absence, or uncertainty; it does not quantify mosquito abundance.",Peer-reviewed global occurrence/modelling; regional public-health distribution maps where applicable,S049; S050,2026-05-06,Global modelling,Vector presence indicates ecological compatibility with transmission but does not establish virus circulation. Global or regional sources may not provide a direct country-specific occurrence citation for every jurisdiction.
French Southern Territories,Territory/dependency or other jurisdiction,No,Culex,Culex tritaeniorhynchus complex,Absent,Categorical synthesis of documented occurrence and modelled habitat suitability for the principal JEV vector complex. Status does not quantify abundance or vector competence.,Peer-reviewed global occurrence and habitat-suitability modelling,S051,2026-05-06,Global occurrence/modelling source,"The cited model distinguishes documented occurrences from predicted suitability. Country-level categories should therefore be interpreted as ecological evidence tiers, not direct entomological surveillance measurements."
Gabon,Sovereign state,Yes,Aedes,Aedes aegypti and/or Aedes albopictus,Present,"Categorical synthesis of occurrence and distribution evidence. Status denotes evidence of presence, limited/sporadic occurrence, absence, or uncertainty; it does not quantify mosquito abundance.",Peer-reviewed global occurrence/modelling; regional public-health distribution maps where applicable,S049; S050,2026-05-06,Global modelling,Vector presence indicates ecological compatibility with transmission but does not establish virus circulation. Global or regional sources may not provide a direct country-specific occurrence citation for every jurisdiction.
Gabon,Sovereign state,Yes,Culex,Culex tritaeniorhynchus complex,Absent,Categorical synthesis of documented occurrence and modelled habitat suitability for the principal JEV vector complex. Status does not quantify abundance or vector competence.,Peer-reviewed global occurrence and habitat-suitability modelling,S051,2026-05-06,Global occurrence/modelling source,"The cited model distinguishes documented occurrences from predicted suitability. Country-level categories should therefore be interpreted as ecological evidence tiers, not direct entomological surveillance measurements."
Gambia,Sovereign state,Yes,Aedes,Aedes aegypti and/or Aedes albopictus,Present,"Categorical synthesis of occurrence and distribution evidence. Status denotes evidence of presence, limited/sporadic occurrence, absence, or uncertainty; it does not quantify mosquito abundance.",Peer-reviewed global occurrence/modelling; regional public-health distribution maps where applicable,S049; S050,2026-05-06,Global modelling,Vector presence indicates ecological compatibility with transmission but does not establish virus circulation. Global or regional sources may not provide a direct country-specific occurrence citation for every jurisdiction.
Gambia,Sovereign state,Yes,Culex,Culex tritaeniorhynchus complex,Absent,Categorical synthesis of documented occurrence and modelled habitat suitability for the principal JEV vector complex. Status does not quantify abundance or vector competence.,Peer-reviewed global occurrence and habitat-suitability modelling,S051,2026-05-06,Global occurrence/modelling source,"The cited model distinguishes documented occurrences from predicted suitability. Country-level categories should therefore be interpreted as ecological evidence tiers, not direct entomological surveillance measurements."
Georgia,Sovereign state,Yes,Aedes,Aedes aegypti and/or Aedes albopictus,Limited / sporadic,"Categorical synthesis of occurrence and distribution evidence. Status denotes evidence of presence, limited/sporadic occurrence, absence, or uncertainty; it does not quantify mosquito abundance.",Peer-reviewed global occurrence/modelling; regional public-health distribution maps where applicable,S049; S050,2026-05-06,Global modelling,Vector presence indicates ecological compatibility with transmission but does not establish virus circulation. Global or regional sources may not provide a direct country-specific occurrence citation for every jurisdiction.
Georgia,Sovereign state,Yes,Culex,Culex tritaeniorhynchus complex,Limited / uncertain,Categorical synthesis of documented occurrence and modelled habitat suitability for the principal JEV vector complex. Status does not quantify abundance or vector competence.,Peer-reviewed global occurrence and habitat-suitability modelling,S051,2026-05-06,Global occurrence/modelling source,"The cited model distinguishes documented occurrences from predicted suitability. Country-level categories should therefore be interpreted as ecological evidence tiers, not direct entomological surveillance measurements."
